User Input,Chatbot Response,Timestamp
Hello,Hello,2024-12-10 21:09:49
hi,"I'm fine, thank you",2024-12-10 21:09:58
how are you,"I'm fine, thank you",2024-12-10 21:10:09
tell me a joke,Did you hear about the mathematician whoâ€™s afraid of negative numbers? Heâ€™ll stop at nothing to avoid them!,2024-12-10 21:10:31
how are you,Hello,2024-12-10 21:12:05
hello,Nothing much,2024-12-10 21:13:24
how's the day today,"Gardening tips include choosing the right plants for your climate, watering properly, and using organic fertilizers.",2024-12-10 21:13:50
have a nice day,Growing a vegetable garden allows you to enjoy fresh produce and connect with nature.,2024-12-10 21:15:45
whats the day today,Growing a vegetable garden allows you to enjoy fresh produce and connect with nature.,2024-12-10 21:15:57
todays date,"Gardening tips include choosing the right plants for your climate, watering properly, and using organic fertilizers.",2024-12-10 22:06:13
hi,Hello,2024-12-10 22:06:21
sing happy bithday,"Gardening tips include choosing the right plants for your climate, watering properly, and using organic fertilizers.",2024-12-10 22:06:36
telll me a joke,Why don't skeletons fight each other? They don't have the guts!,2024-12-10 22:07:02
